session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_022534,2,25,Precision Sphere,air,1,52,24,Precision Disk,0.2713
20260317_022534,2,25,Precision Sphere,air,1,53,24,Precision Disk,0.3294
20260317_022534,2,25,Precision Sphere,air,1,54,24,Precision Disk,0.3859
20260317_022534,2,25,Precision Sphere,air,1,55,24,Precision Disk,0.3665
20260317_022534,2,25,Precision Sphere,air,1,56,24,Precision Disk,0.4381
20260317_022534,2,25,Precision Sphere,air,1,57,24,Precision Disk,0.3693
20260317_022534,2,25,Precision Sphere,air,1,58,24,Precision Disk,0.4183
20260317_022534,2,25,Precision Sphere,air,1,59,24,Precision Disk,0.3304
20260317_022534,2,25,Precision Sphere,air,1,60,24,Precision Disk,0.4294
20260317_022534,2,25,Precision Sphere,air,1,61,24,Precision Disk,0.3555
20260317_022534,2,25,Precision Sphere,air,1,62,24,Precision Disk,0.4392
20260317_022534,2,25,Precision Sphere,air,1,63,24,Precision Disk,0.2621
20260317_022534,2,25,Precision Sphere,air,1,64,24,Precision Disk,0.3366
20260317_022534,2,25,Precision Sphere,air,1,65,24,Precision Disk,0.3034
20260317_022534,2,25,Precision Sphere,air,1,66,24,Precision Disk,0.3715
20260317_022534,3,25,Precision Sphere,object,1,0,5,Palmar,0.6482
20260317_022534,3,25,Precision Sphere,object,1,1,5,Palmar,0.6943
20260317_022534,3,25,Precision Sphere,object,1,2,5,Palmar,0.6878
20260317_022534,3,25,Precision Sphere,object,1,3,5,Palmar,0.6739
20260317_022534,3,25,Precision Sphere,object,1,4,5,Palmar,0.6954
20260317_022534,3,25,Precision Sphere,object,1,5,5,Palmar,0.8066
20260317_022534,3,25,Precision Sphere,object,1,6,5,Palmar,0.822
20260317_022534,3,25,Precision Sphere,object,1,7,5,Palmar,0.4172
20260317_022534,3,25,Precision Sphere,object,1,8,24,Precision Disk,0.2753
20260317_022534,3,25,Precision Sphere,object,1,9,24,Precision Disk,0.2686
20260317_022534,3,25,Precision Sphere,object,1,10,5,Palmar,0.421
20260317_022534,3,25,Precision Sphere,object,1,11,5,Palmar,0.8922
20260317_022534,3,25,Precision Sphere,object,1,12,5,Palmar,0.8686
20260317_022534,3,25,Precision Sphere,object,1,13,5,Palmar,0.7855
20260317_022534,3,25,Precision Sphere,object,1,14,5,Palmar,0.8472
20260317_022534,3,25,Precision Sphere,object,1,15,8,Light Tool,0.3211
20260317_022534,3,25,Precision Sphere,object,1,16,5,Palmar,0.3058
20260317_022534,3,25,Precision Sphere,object,1,17,5,Palmar,0.3701
20260317_022534,3,25,Precision Sphere,object,1,18,5,Palmar,0.5672
20260317_022534,3,25,Precision Sphere,object,1,19,5,Palmar,0.3736
20260317_022534,3,25,Precision Sphere,object,1,20,5,Palmar,0.5465
20260317_022534,3,25,Precision Sphere,object,1,21,5,Palmar,0.7982
20260317_022534,3,25,Precision Sphere,object,1,22,5,Palmar,0.8712
20260317_022534,3,25,Precision Sphere,object,1,23,5,Palmar,0.8788
20260317_022534,3,25,Precision Sphere,object,1,24,5,Palmar,0.8865
20260317_022534,3,25,Precision Sphere,object,1,25,5,Palmar,0.8769
20260317_022534,3,25,Precision Sphere,object,1,26,5,Palmar,0.7971
20260317_022534,3,25,Precision Sphere,object,1,27,5,Palmar,0.8095
20260317_022534,3,25,Precision Sphere,object,1,28,5,Palmar,0.8086
20260317_022534,3,25,Precision Sphere,object,1,29,5,Palmar,0.907
20260317_022534,3,25,Precision Sphere,object,1,30,5,Palmar,0.814
20260317_022534,3,25,Precision Sphere,object,1,31,5,Palmar,0.9206
20260317_022534,3,25,Precision Sphere,object,1,32,5,Palmar,0.8488
20260317_022534,3,25,Precision Sphere,object,1,33,5,Palmar,0.9191
20260317_022534,3,25,Precision Sphere,object,1,34,5,Palmar,0.8846
20260317_022534,3,25,Precision Sphere,object,1,35,5,Palmar,0.8836
20260317_022534,3,25,Precision Sphere,object,1,36,5,Palmar,0.8585
20260317_022534,3,25,Precision Sphere,object,1,37,5,Palmar,0.9156
20260317_022534,3,25,Precision Sphere,object,1,38,5,Palmar,0.8508
20260317_022534,3,25,Precision Sphere,object,1,39,5,Palmar,0.8877
20260317_022534,3,25,Precision Sphere,object,1,40,5,Palmar,0.8838
20260317_022534,3,25,Precision Sphere,object,1,41,5,Palmar,0.8967
20260317_022534,3,25,Precision Sphere,object,1,42,5,Palmar,0.8943
20260317_022534,3,25,Precision Sphere,object,1,43,5,Palmar,0.8518
20260317_022534,3,25,Precision Sphere,object,1,44,5,Palmar,0.8847
20260317_022534,3,25,Precision Sphere,object,1,45,5,Palmar,0.8702
20260317_022534,3,25,Precision Sphere,object,1,46,5,Palmar,0.8791
20260317_022534,3,25,Precision Sphere,object,1,47,5,Palmar,0.8312
20260317_022534,3,25,Precision Sphere,object,1,48,5,Palmar,0.8179
20260317_022534,3,25,Precision Sphere,object,1,49,5,Palmar,0.8306
20260317_022534,3,25,Precision Sphere,object,1,50,5,Palmar,0.884
20260317_022534,3,25,Precision Sphere,object,1,51,5,Palmar,0.843
20260317_022534,3,25,Precision Sphere,object,1,52,5,Palmar,0.8858
20260317_022534,3,25,Precision Sphere,object,1,53,5,Palmar,0.8536
20260317_022534,3,25,Precision Sphere,object,1,54,5,Palmar,0.7867
20260317_022534,3,25,Precision Sphere,object,1,55,5,Palmar,0.8455
20260317_022534,3,25,Precision Sphere,object,1,56,5,Palmar,0.8211
20260317_022534,3,25,Precision Sphere,object,1,57,5,Palmar,0.8349
20260317_022534,3,25,Precision Sphere,object,1,58,5,Palmar,0.8073
20260317_022534,3,25,Precision Sphere,object,1,59,5,Palmar,0.7312
20260317_022534,3,25,Precision Sphere,object,1,60,5,Palmar,0.8232
20260317_022534,3,25,Precision Sphere,object,1,61,5,Palmar,0.8505
20260317_022534,3,25,Precision Sphere,object,1,62,5,Palmar,0.8251
20260317_022534,3,25,Precision Sphere,object,1,63,5,Palmar,0.7961
20260317_022534,3,25,Precision Sphere,object,1,64,5,Palmar,0.8241
20260317_022534,3,25,Precision Sphere,object,1,65,5,Palmar,0.8121
20260317_022534,3,25,Precision Sphere,object,1,66,5,Palmar,0.9046
20260317_022534,4,19,Lateral Tripod,air,1,0,18,Writing Tripod,0.9057
20260317_022534,4,19,Lateral Tripod,air,1,1,18,Writing Tripod,0.9037
20260317_022534,4,19,Lateral Tripod,air,1,2,18,Writing Tripod,0.9046
20260317_022534,4,19,Lateral Tripod,air,1,3,18,Writing Tripod,0.9243
20260317_022534,4,19,Lateral Tripod,air,1,4,18,Writing Tripod,0.911
20260317_022534,4,19,Lateral Tripod,air,1,5,18,Writing Tripod,0.905
20260317_022534,4,19,Lateral Tripod,air,1,6,18,Writing Tripod,0.9306
20260317_022534,4,19,Lateral Tripod,air,1,7,18,Writing Tripod,0.9134
20260317_022534,4,19,Lateral Tripod,air,1,8,18,Writing Tripod,0.9124
20260317_022534,4,19,Lateral Tripod,air,1,9,18,Writing Tripod,0.9103
20260317_022534,4,19,Lateral Tripod,air,1,10,18,Writing Tripod,0.9049
20260317_022534,4,19,Lateral Tripod,air,1,11,18,Writing Tripod,0.8349
20260317_022534,4,19,Lateral Tripod,air,1,12,18,Writing Tripod,0.7828
20260317_022534,4,19,Lateral Tripod,air,1,13,18,Writing Tripod,0.8757
20260317_022534,4,19,Lateral Tripod,air,1,14,18,Writing Tripod,0.8797
20260317_022534,4,19,Lateral Tripod,air,1,15,18,Writing Tripod,0.9054
20260317_022534,4,19,Lateral Tripod,air,1,16,18,Writing Tripod,0.8981
20260317_022534,4,19,Lateral Tripod,air,1,17,18,Writing Tripod,0.8979
20260317_022534,4,19,Lateral Tripod,air,1,18,18,Writing Tripod,0.8934
20260317_022534,4,19,Lateral Tripod,air,1,19,18,Writing Tripod,0.9053
20260317_022534,4,19,Lateral Tripod,air,1,20,18,Writing Tripod,0.9037
20260317_022534,4,19,Lateral Tripod,air,1,21,18,Writing Tripod,0.9124
20260317_022534,4,19,Lateral Tripod,air,1,22,18,Writing Tripod,0.9026
20260317_022534,4,19,Lateral Tripod,air,1,23,18,Writing Tripod,0.895
20260317_022534,4,19,Lateral Tripod,air,1,24,18,Writing Tripod,0.8805
20260317_022534,4,19,Lateral Tripod,air,1,25,18,Writing Tripod,0.8352
20260317_022534,4,19,Lateral Tripod,air,1,26,18,Writing Tripod,0.8879
20260317_022534,4,19,Lateral Tripod,air,1,27,18,Writing Tripod,0.8236
20260317_022534,4,19,Lateral Tripod,air,1,28,18,Writing Tripod,0.8714
20260317_022534,4,19,Lateral Tripod,air,1,29,18,Writing Tripod,0.8188
20260317_022534,4,19,Lateral Tripod,air,1,30,18,Writing Tripod,0.851
20260317_022534,4,19,Lateral Tripod,air,1,31,18,Writing Tripod,0.865
20260317_022534,4,19,Lateral Tripod,air,1,32,18,Writing Tripod,0.8544
20260317_022534,4,19,Lateral Tripod,air,1,33,18,Writing Tripod,0.8806
20260317_022534,4,19,Lateral Tripod,air,1,34,18,Writing Tripod,0.8885
20260317_022534,4,19,Lateral Tripod,air,1,35,18,Writing Tripod,0.8831
20260317_022534,4,19,Lateral Tripod,air,1,36,18,Writing Tripod,0.8885
